"API Access Token","API-adgangstoken"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Adgangstoken til instansens /private-API, med eller uden præfikset ""secret-token:""."
"Amount","Beløb"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Anvendes, efter at Taler-backenden har bekræftet betalingen. Tilstanden forbliver ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Anvendes, mens kunden betaler fra sin Taler-tegnebog, før betalingen er bekræftet."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","Basis-URL for din Taler-forhandlerbackend, f.eks. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Kan ikke refundere: Taler-ordredata mangler."
"Debug Logging","Fejlfindingslog"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Forbindelse"
"GNU Taler - Payment Method","GNU Taler - Betalingsmetode"
"Instance","Instans"
"Log API requests and responses to var/log/taler.log.","Log API-forespørgsler og -svar i var/log/taler.log."
"Merchant Backend URL","URL for forhandlerbackend"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","ID for den forhandlerbackend-instans, der faktureres på. Lad stå tomt for standardinstansen i backendens rod."
"No payment found for order.","Ingen betaling fundet for ordren."
"Order #%s at %s","Ordre nr. %s hos %s"
"Order Status URL","URL for ordrestatus"
"Order status set to ""%s"" per GNU Taler configuration.","Ordrestatus sat til ""%s"" i henhold til GNU Taler-konfigurationen."
"Paid (processing) order status","Ordrestatus for betalt (processing)"
"Pay URI","Betalings-URI"
"Payment was not completed.","Betalingen blev ikke gennemført."
"Pending-payment order status","Ordrestatus for afventende betaling"
"Refund Window (days)","Refusionsvindue (dage)"
"Refund for order #%s","Refusion for ordre nr. %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Refusionsvindue, der tildeles ved ordreoprettelse. Når det er udløbet, afviser Taler-backenden refusioner for ordren."
"Refunded Total","Samlet refunderet"
"Taler API error: %s","Taler-API-fejl: %s"
"Taler Order ID","Taler-ordre-ID"
"Taler connection error: %s","Taler-forbindelsesfejl: %s"
"Taler: failed to create order. Response: %s","Taler: kunne ikke oprette ordren. Svar: %s"
"The Taler refund deadline for this order has passed.","Taler-refusionsfristen for denne ordre er udløbet."
"The configured URL does not point to a Taler merchant backend.","Den konfigurerede URL peger ikke på en Taler-forhandlerbackend."
"The order is unknown to the Taler merchant backend.","Ordren er ukendt for Taler-forhandlerbackenden."
"The refund amount exceeds the amount paid via Taler.","Refusionsbeløbet overstiger det beløb, der er betalt via Taler."
"Unable to initialize payment. Please try again.","Betalingen kunne ikke initialiseres. Prøv igen."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Din betaling er endnu ikke bekræftet. Hvis du har gennemført betalingen, behandles din ordre automatisk, så snart Taler-backenden bekræfter den."
